Site,Latitude,Longitude,Date,Air_Temperature,Wind_Speed_at_3m,DHI,DHI_Uncertainty,DNI,DNI_Uncertainty,GHI,GHI_Uncertainty,Relative_Humidity,Relative_Humidity_Uncertainty,Barometric_Pressure,Barometric_Pressure_Uncertainty,power_out_kwh,power_out_farm_kwh
Duba - TVTC,27.34103,35.72295,2013-08-01,31.7,2.1,1450.2,117.8,8478.8,561.9,7454.3,468.4,56.1,3.0,1001.3,5.0,210.081,13025044.613
Duba - TVTC,27.34103,35.72295,2013-09-01,31.2,2.5,1500.8,227.2,7584.2,1056.5,6605.2,745.2,50.6,3.0,1004.2,5.0,297.402,18438933.311
Duba - TVTC,27.34103,35.72295,2013-10-01,27.6,2.2,1076.9,189.7,7772.4,1076.0,5662.9,719.9,49.1,3.0,1007.8,5.0,315.09,19535578.937
Duba - TVTC,27.34103,35.72295,2013-11-01,25.8,2.1,1192.5,216.3,6161.1,776.9,4447.3,562.9,43.0,3.0,1009.3,5.0,363.833,22557672.901
Duba - TVTC,27.34103,35.72295,2013-12-01,21.1,2.6,1204.7,124.8,5047.5,727.4,3611.0,411.2,39.2,3.0,1013.8,5.1,447.408,27739273.829
Duba - TVTC,27.34103,35.72295,2014-01-01,21.0,2.3,1040.9,108.0,6519.4,483.2,4288.5,278.0,42.2,3.0,1012.9,5.1,402.77,24971750.169
Duba - TVTC,27.34103,35.72295,2014-02-01,22.1,2.7,1107.5,126.7,7638.9,531.2,5385.1,345.0,38.5,3.0,1011.3,5.1,387.054,23997357.621
Duba - TVTC,27.34103,35.72295,2014-03-01,24.3,2.5,1930.4,171.9,5880.6,496.1,5843.8,394.4,42.6,3.0,1008.7,5.1,347.76,21561125.174
Duba - TVTC,27.34103,35.72295,2014-04-01,27.9,2.3,2452.8,217.8,6172.5,502.3,6903.0,444.6,41.1,3.0,1007.1,5.0,273.78,16974386.32
Duba - TVTC,27.34103,35.72295,2014-05-01,31.0,2.9,2113.6,213.7,7403.2,599.9,7544.3,496.8,33.6,3.0,1005.7,5.0,301.864,18715547.04
Duba - TVTC,27.34103,35.72295,2014-06-01,32.2,2.8,1917.2,233.1,8402.7,605.4,8067.5,498.5,41.2,3.0,1003.4,5.0,271.676,16843888.412
Duba - TVTC,27.34103,35.72295,2014-07-01,32.4,2.4,1503.5,114.1,8770.2,548.3,7855.8,468.6,52.8,3.0,1002.0,5.0,234.01,14508644.73
Duba - TVTC,27.34103,35.72295,2014-08-01,32.6,2.2,1534.7,147.9,8106.7,551.9,7309.7,458.1,52.4,3.0,1001.6,5.0,228.723,14180807.794
Duba - TVTC,27.34103,35.72295,2014-09-01,31.4,2.6,1224.0,101.0,8212.4,534.6,6679.7,409.9,52.1,3.0,1004.5,5.0,303.671,18827601.325
Duba - TVTC,27.34103,35.72295,2014-10-01,28.2,2.3,1291.5,148.6,6826.2,500.7,5312.9,355.6,49.0,3.0,1008.6,5.1,338.167,20966350.279
Duba - TVTC,27.34103,35.72295,2014-11-01,25.1,2.5,998.1,87.8,6965.2,477.4,4613.4,293.6,40.8,3.0,1011.3,5.1,391.762,24289227.823
