READING_DATETIME,GENERAL_SUPPLY_KWH
2011-10-06,0.0
2011-10-07,0.0
2011-10-08,0.0
2011-10-09,0.0
2011-10-10,90.41300000000003
2011-10-11,296.52599999999995
2011-10-12,519.6070000000001
2011-10-13,712.5439999999998
2011-10-14,793.423
2011-10-15,826.9109999999996
2011-10-16,845.818
2011-10-17,999.9849999999998
2011-10-18,1164.8719999999998
2011-10-19,1316.283
2011-10-20,1256.651
2011-10-21,1331.101
2011-10-22,1475.6239999999996
2011-10-23,1508.5319999999997
2011-10-24,1631.459
2011-10-25,1532.8870000000004
2011-10-26,1526.437
2011-10-27,1503.2509999999997
2011-10-28,1486.0469999999996
2011-10-29,1536.757
2011-10-30,1620.5340000000008
2011-10-31,1431.762
2011-11-01,1460.4729999999995
2011-11-02,1448.1650000000002
2011-11-03,1464.0490000000004
2011-11-04,1439.3200000000002
2011-11-05,1569.6539999999998
2011-11-06,1738.1690000000003
2011-11-07,1616.9220000000003
2011-11-08,1760.5990000000006
2011-11-09,1887.7480000000005
2011-11-10,1669.3920000000014
2011-11-11,1452.1280000000002
2011-11-12,1544.3969999999997
2011-11-13,1610.6319999999996
2011-11-14,2000.5549999999998
2011-11-15,1633.4539999999997
2011-11-16,1484.3020000000006
2011-11-17,1479.574000000001
2011-11-18,1505.8949999999993
2011-11-19,1862.436999999999
2011-11-20,2027.462000000001
2011-11-21,1528.9429999999995
2011-11-22,1453.8319999999994
2011-11-23,1558.8130000000006
2011-11-24,1571.2730000000004
2011-11-25,1600.1300000000003
2011-11-26,1577.0740000000005
2011-11-27,1647.686
2011-11-28,1576.983
2011-11-29,1677.3430000000008
2011-11-30,1847.2509999999997
2011-12-01,1609.1189999999997
2011-12-02,1729.1559999999997
2011-12-03,1793.055000000001
2011-12-04,1931.6610000000003
2011-12-05,1956.9940000000004
2011-12-06,2003.4500000000005
2011-12-07,2159.5119999999997
2011-12-08,2141.3300000000004
2011-12-09,2130.5989999999997
2011-12-10,2286.7549999999997
2011-12-11,2472.918
2011-12-12,2336.3349999999996
2011-12-13,2252.8669999999997
2011-12-14,2264.7630000000004
2011-12-15,2261.8859999999995
2011-12-16,2200.6670000000004
2011-12-17,2271.551
2011-12-18,2350.564
2011-12-19,2409.1590000000006
2011-12-20,2324.518
2011-12-21,2449.9430000000007
2011-12-22,2455.9809999999993
2011-12-23,2637.535
2011-12-24,2955.7350000000006
2011-12-25,3007.281000000001
2011-12-26,2749.498000000001
2011-12-27,2536.294
2011-12-28,2386.4109999999987
2011-12-29,2319.6309999999985
2011-12-30,2332.973000000001
2011-12-31,2320.795000000001
2012-01-01,2419.386
2012-01-02,2547.2120000000004
2012-01-03,2717.907000000002
2012-01-04,3276.5230000000024
2012-01-05,2564.3000000000006
2012-01-06,2415.2749999999996
2012-01-07,2376.003
2012-01-08,2919.324000000001
2012-01-09,2976.374
2012-01-10,2672.387
2012-01-11,2574.6479999999997
2012-01-12,2255.523999999999
2012-01-13,2412.1880000000006
2012-01-14,2428.835
2012-01-15,2553.229999999999
2012-01-16,2470.0739999999996
2012-01-17,2558.442999999998
2012-01-18,2888.2469999999994
2012-01-19,2974.0379999999996
2012-01-20,3216.1149999999993
2012-01-21,3409.306000000001
2012-01-22,3512.4839999999976
2012-01-23,3474.6090000000004
2012-01-24,3677.3120000000035
2012-01-25,3757.722000000001
2012-01-26,3877.6310000000008
2012-01-27,4164.9119999999975
2012-01-28,4678.742999999997
2012-01-29,5105.802000000002
2012-01-30,6349.839999999998
2012-01-31,5335.589999999998
2012-02-01,4642.122
2012-02-02,4856.748999999997
2012-02-03,5297.901000000001
2012-02-04,6038.942999999996
2012-02-05,7105.4760000000015
2012-02-06,6350.213000000002
2012-02-07,6322.243999999992
2012-02-08,6405.562000000003
2012-02-09,6895.363999999998
2012-02-10,7430.0960000000005
2012-02-11,8347.475000000004
2012-02-12,8975.69900000001
2012-02-13,8592.251999999999
2012-02-14,8575.66599999999
2012-02-15,8972.020999999995
2012-02-16,9157.794999999996
2012-02-17,9855.967
2012-02-18,11400.131999999994
2012-02-19,12769.956999999988
2012-02-20,11578.604000000007
2012-02-21,10509.460999999994
2012-02-22,10294.617999999997
2012-02-23,11428.314999999993
2012-02-24,12305.85
2012-02-25,12752.337000000007
2012-02-26,13697.643000000002
2012-02-27,14530.588000000005
2012-02-28,17536.331000000002
2012-02-29,13729.939000000006
2012-03-01,16674.487999999998
2012-03-02,13562.032999999998
2012-03-03,13922.566000000013
2012-03-04,17821.10499999996
2012-03-05,14634.028000000013
2012-03-06,13806.525000000014
2012-03-07,14110.720000000003
2012-03-08,14549.244999999995
2012-03-09,14389.477000000015
2012-03-10,15942.412000000017
2012-03-11,16820.416000000005
2012-03-12,15910.52599999999
2012-03-13,15861.646999999984
2012-03-14,16543.39
2012-03-15,17404.44300000001
2012-03-16,20247.651000000016
2012-03-17,19353.041
2012-03-18,19039.019999999986
2012-03-19,18171.97500000001
2012-03-20,18150.000000000022
2012-03-21,18895.230000000014
2012-03-22,18889.612999999987
2012-03-23,19481.92899999999
2012-03-24,20118.90199999999
2012-03-25,21147.415000000023
2012-03-26,20269.78100000001
2012-03-27,20079.207
2012-03-28,20382.164000000037
2012-03-29,20465.70799999999
2012-03-30,20760.250999999975
2012-03-31,22182.92000000003
2012-04-01,23710.663000000044
2012-04-02,22647.213999999993
2012-04-03,23157.70300000001
2012-04-04,23300.494999999966
2012-04-05,23399.188000000024
2012-04-06,24956.521999999986
2012-04-07,23901.602999999996
2012-04-08,24576.711000000003
2012-04-09,23988.154999999995
2012-04-10,24928.534000000018
2012-04-11,26476.777000000027
2012-04-12,25244.708000000017
2012-04-13,25269.96800000005
2012-04-14,26407.049000000017
2012-04-15,27369.057000000077
2012-04-16,26516.897999999986
2012-04-17,28610.881999999987
